1800	5
3.13963	1.35888	0.509609	1.95362	2.96897	0.666192
4.77262	3.13835	4.73563	0.786106	4.32656	0.560701
2.97026	5.22307	0.980387	5.95918	5.87751	0.321973
1.73975	5.75812	2.51358	1.93769	1.2274	0.534683
5.77002	2.61191	2.56576	4.60086	3.79425	0.617063
2.35116	3.17278	5.52081	4.16817	5.76252	0.480736
3.53936	2.02266	5.65118	4.96873	5.09215	0.464514
5.43878	2.40994	1.97981	3.27001	4.04933	0.74016
0.813024	1.06077	2.16676	3.90394	2.71994	0.660795
5.61328	3.64008	2.24532	4.95445	2.50424	0.592624
4.07112	3.97993	1.64893	3.784	4.96525	0.745722
2.62509	3.14879	2.72544	4.58017	0.176713	0.636701
4.15956	4.12788	0.767612	5.33257	4.8314	0.467396
3.81769	2.21895	0.505214	5.46203	5.28753	0.420221
0.299763	3.07097	0.509243	2.4081	0.661225	0.411178
1.28106	0.600249	4.1537	0.817785	4.28298	0.466142
0.222674	0.274677	0.876563	4.68088	3.7884	0.355912
3.85889	5.60541	3.07939	3.75544	3.71442	0.73458
3.02995	1.04484	5.49572	4.51809	3.74573	0.558257
3.92005	4.59628	5.65924	0.13002	5.93409	0.309484
5.28276	0.722201	1.64709	5.04216	3.64978	0.458246
4.54355	5.42761	1.93275	0.388389	3.77924	0.457822
4.31466	0.640899	2.69742	5.92255	5.56274	0.363713
1.20452	2.0644	4.70725	0.374107	1.79963	0.4914
1.60773	0.837194	1.46545	0.796178	1.66193	0.485007
3.97572	4.84641	4.1678	5.2987	4.93412	0.506333
5.00279	4.69333	0.467493	5.99873	3.66901	0.360593
4.39211	4.44705	2.3301	3.37713	4.62375	0.815696
1.28893	2.37624	3.97151	5.29595	1.95014	0.639622
4.23171	5.27544	3.61316	3.79133	3.88709	0.74163
4.09767	3.80854	1.13713	0.30013	0.766697	0.442364
4.28994	3.58221	1.23033	3.37933	3.64539	0.935013
3.72925	0.770725	2.95158	3.93891	1.04905	0.65826
4.51846	3.65985	4.73746	5.55084	1.31804	0.49762
3.35955	2.30666	1.9441	5.51825	2.56759	0.75452
5.41076	1.99043	2.67471	3.09825	4.15645	0.752795
3.72009	0.644012	2.53885	5.31646	3.21214	0.599059
0.9976	5.7519	4.57211	3.61719	2.6998	0.512161
5.59241	3.11034	5.11595	2.98527	2.0287	0.582967
5.01396	4.49777	5.37102	5.85169	0.882423	0.338554
6.04854	5.7453	0.160965	0.121596	0.433251	0.223395
2.46633	3.81897	3.33684	3.26488	1.41143	1.15437
0.0521973	1.2708	2.04023	1.91132	0.39846	0.391328
5.7215	5.13884	0.510707	1.17595	0.876746	0.322444
5.56494	4.48916	0.67038	0.507228	5.12419	0.333893
2.08088	2.22426	3.44909	1.72089	1.33306	0.90391
3.41375	2.81882	1.4649	0.536709	4.50619	0.629051
3.39635	0.273579	2.16969	0.379417	4.61294	0.439581
2.65768	5.28899	1.09593	5.5816	4.37783	0.443553
4.30971	3.31487	1.60901	0.660858	1.10893	0.56189
5.7323	4.62558	0.661408	4.39065	2.73624	0.442861
2.96879	1.85694	5.24871	1.46508	0.962809	0.559586
1.06389	4.86948	2.45315	5.72589	1.76282	0.465037
5.30584	1.05601	5.64624	4.41995	3.26433	0.431319
3.8404	5.96485	5.49096	5.84162	3.12517	0.347319
3.90009	3.797	0.146683	5.86341	4.75211	0.38676
3.9596	3.74866	0.0505493	3.42693	3.58038	0.636955
1.88404	2.84977	2.81461	1.85511	0.366782	0.687431
